id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
70895,3.3593593611439223,2,53,110,192,98,30,4,1,0,490,8169.0,0
70896,3.3890909090909096,0,10,39,50,22,8,0,0,0,130,8170.0,1
70897,3.4457431629013073,1,14,22,33,13,2,1,0,0,87,8171.0,1
70898,3.4578822828676627,1,37,33,59,24,6,2,0,0,162,8172.0,0
70899,3.3633333333333333,0,4,7,9,4,1,2,0,0,27,8173.0,0
70900,3.34,0,0,9,7,1,4,0,0,0,21,8174.0,0
70901,3.3399999999999994,0,2,22,12,6,6,0,2,0,50,8175.0,0
70902,3.3155434782608695,0,1,20,47,23,1,0,0,0,92,8176.0,0
70903,3.4263443145866095,4,97,249,453,103,27,5,1,0,941,8177.0,2
70904,3.353928833455613,0,9,23,76,18,3,0,0,0,130,8178.0,1
70905,3.316370504002706,1,12,36,92,44,11,0,0,0,196,8179.0,0
70906,3.32,0,0,5,1,6,0,0,0,0,12,8180.0,0
70907,3.3799514562864075,1,18,60,83,30,11,2,1,0,206,8181.0,0
70908,3.370277777777778,3,28,35,37,22,4,9,3,0,144,8182.0,3
70909,3.3342424242424245,0,5,15,29,12,4,0,1,0,66,8183.0,0
70910,3.4108396946564885,0,8,52,57,18,4,2,0,0,141,8184.0,0
70911,3.3555882352941175,1,10,21,32,14,4,0,1,0,84,8185.0,1
70912,3.543954372627377,4,76,57,84,32,8,1,0,0,263,8186.0,1
70913,3.33,0,2,4,12,4,2,0,0,0,24,8187.0,0
70914,3.3973384183059014,3,41,60,88,53,19,1,0,0,265,8188.0,0
70915,3.355302491099644,0,33,69,90,61,27,1,0,0,281,8189.0,0
70916,3.381874362416107,4,29,55,162,28,17,1,1,0,298,8190.0,1
70917,3.390375419262212,2,40,67,99,45,23,4,0,0,280,8191.0,0
70918,3.4291318864874794,3,56,192,243,80,18,4,2,0,599,8192.0,1
70919,3.512374581979933,9,126,181,186,66,23,2,3,0,598,8193.0,2
70920,3.404605987174562,0,11,47,75,20,4,0,0,0,157,8194.0,0
70921,3.3541843971631207,0,7,29,80,21,3,1,0,0,141,8195.0,0
70922,3.34,0,0,8,20,6,0,0,0,0,34,8196.0,0
70923,3.34,0,1,6,6,6,1,0,0,0,20,8197.0,0
70924,3.32546957522889,2,18,33,51,29,7,1,1,0,143,8198.0,1
70925,3.31,1,2,3,6,4,2,1,0,0,19,8199.0,0
70926,3.34,0,0,6,11,3,1,0,0,0,21,8200.0,0
70927,3.35,0,0,7,6,6,0,0,0,0,19,8201.0,0
70928,3.31,1,3,2,5,5,2,1,0,0,19,8202.0,0
70929,,0,0,2,4,3,0,0,0,0,9,8203.0,0
70930,3.33,1,1,4,6,7,1,0,0,0,20,8204.0,0
70931,3.35,0,3,3,6,4,2,0,0,0,18,8206.0,0
70932,3.4303703703518518,4,33,52,79,32,12,3,0,0,216,8207.0,1
70933,3.35,1,4,7,16,7,4,0,0,0,39,8208.0,0
70934,3.3200000000000003,0,1,16,40,13,3,0,0,0,73,8209.0,0
70935,,0,0,4,72,2,2,0,0,0,80,8210.0,0
70936,3.652,0,3,81,35,1,0,0,0,0,120,8211.0,0
70937,,0,0,2,13,1,0,0,0,0,16,8212.0,0
70938,3.371287825475017,0,13,112,252,34,11,0,0,0,422,8213.0,0
70939,,0,3,60,214,22,0,0,0,0,299,8214.0,0
70940,,0,0,7,13,6,0,0,0,0,26,8215.0,0
70941,,0,6,9,36,9,6,0,0,0,66,8216.0,0
70942,,0,3,16,48,15,3,0,0,0,85,8217.0,0
70943,3.4501119403171643,0,54,180,220,64,18,0,0,0,536,8218.0,0
70944,3.858777633289986,32,401,297,35,4,0,0,0,0,769,8219.0,0
70945,,0,0,5,14,5,0,0,0,0,24,8220.0,0
70946,3.479339933953795,4,36,112,104,32,13,0,2,0,303,8221.0,0
70947,,0,2,14,60,4,0,0,0,0,80,8222.0,0
70948,3.45,2,12,29,62,13,4,2,4,0,128,8223.0,0
70949,3.410650887573965,0,26,98,168,36,4,2,0,0,338,8224.0,4
70950,3.375682287061597,0,12,66,150,20,2,0,2,0,252,8225.0,0
70951,3.4703934426557383,0,43,87,133,42,0,0,0,0,305,8226.0,0
70952,3.4343999999999997,3,60,75,267,42,3,0,0,0,450,8227.0,0
70953,3.368165680473372,0,9,33,104,20,3,0,0,0,169,8228.0,0
70954,3.34,0,0,3,19,1,0,0,0,0,23,8232.0,0
70955,3.38979999996,0,1,17,36,6,0,0,0,0,60,8233.0,0
70956,3.39,0,3,1,6,4,0,0,0,0,14,8234.0,0
70957,3.363913043478261,0,2,12,21,11,0,0,0,0,46,8235.0,0
70958,,0,1,2,3,2,1,0,0,0,9,8236.0,0
70959,3.400352941176471,0,13,61,88,20,4,0,0,0,188,8237.0,2
70960,,0,0,4,10,0,2,0,0,0,16,8238.0,0
70961,3.3850000000000002,1,3,11,6,5,2,1,1,0,30,8239.0,0
70962,3.33,0,2,1,3,5,0,0,0,0,11,8240.0,0
70963,3.4351801801801805,0,7,72,134,8,0,1,0,0,222,8241.0,0
70964,3.35,0,2,4,8,2,0,1,0,0,17,8242.0,0
70965,3.38,0,3,5,22,4,0,0,0,0,34,8243.0,0
70966,3.3698100795755965,20,56,62,94,41,28,4,20,0,325,8244.0,0
70967,3.387692307692308,1,3,15,38,4,0,1,0,0,63,8245.0,1
70968,3.3365957446808507,0,1,10,29,4,3,0,0,0,47,8246.0,0
70969,3.33,0,4,4,12,8,2,0,0,0,30,8247.0,0
70970,3.335109649122807,0,6,20,36,13,6,0,0,0,81,8248.0,0
70971,3.33,0,5,12,24,13,2,0,0,0,56,8249.0,0
70972,3.3593506493506498,1,4,22,27,17,5,0,0,0,77,8250.0,0
70973,3.62,0,12,26,13,14,1,0,0,0,66,8251.0,0
70974,3.41,0,0,12,16,4,0,0,0,0,32,8252.0,0
70975,3.4200017000788847,0,20,53,66,23,7,1,0,0,173,8253.0,3
70976,3.387153857503827,9,37,38,60,39,19,10,0,0,212,8254.0,0
70977,,0,0,3,9,3,0,0,0,0,15,8255.0,0
70978,3.3099999999999996,0,0,6,33,6,0,0,0,0,45,8256.0,0
70979,3.3425000000000002,0,4,15,24,21,0,0,0,0,64,8257.0,0
70980,3.54939226519337,2,26,80,50,23,0,0,0,0,181,8258.0,0
70981,,2,10,16,43,9,0,3,0,0,83,8260.0,0
70982,3.34,2,3,6,10,7,1,0,2,0,31,8261.0,0
70983,3.41,0,8,4,8,12,0,0,0,0,32,8262.0,0
70984,3.380185185203704,1,6,13,20,10,2,2,0,0,54,8263.0,0
70985,3.3924814285714286,0,9,35,27,21,7,1,0,0,100,8264.0,0
70986,3.34,0,4,7,11,6,4,0,0,0,32,8265.0,0
70987,,3,1,6,3,1,4,0,0,0,18,8266.0,0
70988,3.3399999999999994,0,2,0,18,2,0,0,0,0,22,8267.0,0
70989,,0,1,3,5,4,0,0,0,0,13,8268.0,0
70990,3.35,0,1,4,7,3,1,0,0,0,16,8269.0,0
70991,,1,0,3,2,2,1,1,0,0,10,8270.0,0
70992,3.357317073170732,1,4,4,22,10,0,0,0,0,41,8271.0,0
70993,3.35,0,1,5,2,1,3,0,0,0,12,8272.0,0
70994,3.34,0,3,11,26,9,2,0,0,0,51,8273.0,0
70995,3.33,0,0,1,13,0,0,0,0,0,14,8274.0,0
70996,,0,7,6,3,0,2,0,2,0,21,,1
70997,,0,3,5,0,0,1,0,0,0,9,,0
70998,,0,3,0,0,1,0,0,0,0,4,1827.0,0
70999,3.64766639107069,11,82,30,15,16,3,1,1,1,167,8275.0,7
71000,,0,0,0,0,0,0,0,0,0,2,1828.0,2
71001,3.2753409090681815,0,45,30,29,27,23,5,10,3,176,8276.0,4
71002,,0,2,0,0,0,0,0,0,0,2,8277.0,0
71003,3.0449801318253185,93,305,273,192,202,149,112,103,52,1613,8278.0,130
71004,3.1194439391175433,151,302,249,240,256,168,97,83,56,1702,8279.0,99
71005,2.942505966590096,54,223,251,256,260,154,132,160,55,1676,8280.0,131
71006,3.0409618874773137,36,124,66,58,64,53,35,32,24,551,8281.0,55
71007,2.92,0,16,10,6,20,9,6,9,8,87,8282.0,3
71008,3.131333333333334,20,61,58,39,49,42,26,23,8,345,8283.0,18
71009,3.309821896857031,77,234,221,211,190,130,45,34,19,1187,8284.0,26
71010,3.6438235102943013,71,197,123,42,25,10,9,2,3,504,8285.0,22
71011,3.642346760052539,92,431,327,133,78,36,12,5,4,1142,8286.0,24
71012,3.9861702127659573,34,53,3,3,2,0,0,0,0,96,8287.0,1
71013,3.812890178454558,145,214,123,46,22,3,1,1,0,559,8288.0,4
71014,,0,10,0,2,1,0,0,0,0,13,8289.0,0
71015,3.8077300613496936,60,64,18,7,8,1,2,1,1,163,8290.0,1
71016,3.92,11,15,0,0,1,1,0,0,0,28,8291.0,0
